"Sample_ID","Replication","Row","Column","Absorbance","Concentration"
"elm-bridge_06172026",2,"D",11,0.392,4.89695194977824
"elm-bridge_06172026",3,"D",12,0.393,4.91452166932077
"High STD 4",1,"E",1,0.255,2.48990037245173
"High STD 4",2,"E",2,0.274,2.82372504375979
"High STD 4",3,"E",3,0.278,2.89400392192991
"adams-mid-down_06192026",1,"E",4,0.109,-0.0752786807575378
"adams-mid-down_06192026",2,"E",5,0.113,-0.00499980258742073
"adams-mid-down_06192026",3,"E",6,0.11,-0.0577089612150085
"elm-school_06192026",1,"E",7,0.373,4.56312727847019
"elm-school_06192026",2,"E",8,0.366,4.44013924167248
"elm-school_06192026",3,"E",9,0.375,4.59826671755524
"elm-school_06172026",1,"E",10,0.389,4.84424279115065
"elm-school_06172026",2,"E",11,0.385,4.77396391298054
"elm-school_06172026",3,"E",12,0.383,4.73882447389548
"High STD 5",1,"F",1,0.346,4.08874485082189
"High STD 5",2,"F",2,0.342,4.01846597265178
"High STD 5",3,"F",3,0.344,4.05360541173684
"adams-mid-up_06192026",1,"F",4,0.114,0.0125699169551085
"adams-mid-up_06192026",2,"F",5,0.109,-0.0752786807575378
"adams-mid-up_06192026",3,"F",6,0.109,-0.0752786807575378
"gcp_06172026",1,"F",7,0.214,1.76954187120803
"gcp_06172026",2,"F",8,0.212,1.73440243212297
"gcp_06172026",3,"F",9,0.21,1.69926299303792
"gcp_05282026",1,"F",10,0.242,2.26149401839885
"gcp_05282026",2,"F",11,0.23,2.0506573838885
"gcp_05282026",3,"F",12,0.231,2.06822710343103
"High STD 6",1,"G",1,0.537,7.44456128344498
"High STD 6",2,"G",2,0.54,7.49727044207257
"High STD 6",3,"G",3,0.538,7.46213100298751
"adams-out_06192026",1,"G",4,0.107,-0.110418119842596
"adams-out_06192026",2,"G",5,0.107,-0.110418119842596
"adams-out_06192026",3,"G",6,0.107,-0.110418119842596
"heron-resi_05282026",1,"G",7,0.53,7.32157324664728
"heron-resi_05282026",2,"G",8,0.475,6.35523867180817
"heron-resi_05282026",3,"G",9,0.536,7.42699156390245
"gcp_06122026",1,"G",10,0.258,2.54260953107932
"gcp_06122026",2,"G",11,0.254,2.4723306529092
"gcp_06122026",3,"G",12,0.255,2.48990037245173
"High STD 7",1,"H",1,0.567,7.97165286972086
"High STD 7",2,"H",2,0.568,7.98922258926339
"High STD 7",3,"H",3,0.565,7.9365134306358
"gcp_06192026",1,"H",4,0.269,2.73587644604714
"gcp_06192026",2,"H",5,0.253,2.45476093336667
"gcp_06192026",3,"H",6,0.254,2.4723306529092
"heron-out_05282026",1,"H",7,0.111,-0.0401392416724793
"heron-out_05282026",2,"H",8,0.108,-0.0928484003000671
"heron-out_05282026",3,"H",9,0.108,-0.0928484003000671
"adams-out_06012026",1,"H",10,0.138,0.434243185975811
"adams-out_06012026",2,"H",11,0.137,0.416673466433281
"adams-out_06012026",3,"H",12,0.136,0.399103746890752
